Modelo,Clio,Gol,Palio,408,F1000,Cerato,Veloster,C3,Kicks,Saveiro,Tracker,Civic Touring
Clio,1,0.8,0.8,0.4,0.1,0.4,0.5,1,0.4,0.5,0.4,0.2
Gol,0.8,1,0.8,0.4,0.1,0.4,0.4,0.8,0.4,0.7,0.3,0.2
Palio,0.8,0.8,1,0.3,0.1,0.3,0.3,0.9,0.3,0.4,0.2,0.1
408,0.4,0.4,0.3,1,0.2,1,0.6,0.4,0.5,0.3,0.5,0.7
F1000,0.1,0.1,0.1,0.2,1,0.2,0.3,0.1,0.4,0.7,0.3,0.4
Cerato,0.4,0.4,0.3,1,0.2,1,0.6,0.4,0.7,0.4,0.7,0.8
Veloster,0.5,0.4,0.3,0.6,0.3,0.6,1,0.6,0.4,0.2,0.5,0.6
C3,1,0.8,0.9,0.4,0.1,0.4,0.6,1,0.5,0.6,0.4,0.3
Kicks,0.4,0.4,0.3,0.5,0.4,0.7,0.4,0.5,1,0.4,1,0.7
Saveiro,0.5,0.7,0.4,0.3,0.7,0.4,0.2,0.6,0.4,1,0.4,0.3
Tracker,0.4,0.3,0.2,0.5,0.3,0.7,0.5,0.4,1,0.4,1,0.7
Civic Touring,0.2,0.2,0.1,0.7,0.4,0.8,0.6,0.3,0.7,0.3,0.7,1
